,Pays,Url,Drapeaux,Capitale,Langues,Population (hab),Superficie (km2)
61,Eswatini,/wiki/Eswatini,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/20px-Flag_of_Eswatini.svg.png,Mbabane,swati,1 104 479,17 363
62,États-Unis,/wiki/%C3%89tats-Unis,//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/20px-Flag_of_the_United_States.svg.png,"Washington, D.C.",fédéral,331 449 281,9 833 517
63,Éthiopie,/wiki/%C3%89thiopie,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/20px-Flag_of_Ethiopia.svg.png,Addis-Abeba,Amharique,110 871 031,1 127 127
64,Fidji,/wiki/Fidji,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/20px-Flag_of_Fiji.svg.png,Suva,Anglais,935 974,18 270
65,Finlande,/wiki/Finlande,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/20px-Flag_of_Finland.svg.png,Helsinki,Finnois,5 527 000,338 145
66,France,/wiki/France,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,Paris,Français,68 014 00,672 05
67,Gabon,/wiki/Gabon,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/20px-Flag_of_Gabon.svg.png,Libreville,Français,2 284 912,267 667
68,Gambie,/wiki/Gambie,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/20px-Flag_of_The_Gambia.svg.png,Banjul,Anglais,2 173 999,11 300
69,Géorgie,/wiki/G%C3%A9orgie_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/20px-Flag_of_Georgia.svg.png,Tbilissi,Géorgien,3 997 000,69 700
70,Ghana,/wiki/Ghana,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/20px-Flag_of_Ghana.svg.png,Accra,Anglais,32 340 248,238 540
